,state,2010,2011,2012,2013,2014,2015,2016
0,Alabama,640,630,620,630,630,630,640
1,Alaska,590,590,590,580,580,580,560
2,Arizona,580,590,590,590,590,590,600
3,Arkansas,650,650,640,650,650,650,650
4,California,580,580,570,570,570,570,570
5,Colorado,640,640,640,650,650,650,660
6,Connecticut,580,590,580,590,590,580,580
7,Delaware,560,560,530,530,530,540,530
8,District of Columbia,580,580,570,580,550,550,550
9,Florida,560,560,560,560,570,560,560
10,Georgia,560,560,560,560,560,560,560
11,Hawaii,550,550,550,550,550,560,560
12,Idaho,610,610,620,530,530,540,540
13,Illinois,670,670,680,680,680,680,690
14,Indiana,560,560,560,560,560,560,560
15,Iowa,690,680,690,680,680,670,680
16,Kansas,670,670,670,670,670,670,680
17,Kentucky,650,650,650,660,670,670,680
18,Louisiana,640,640,630,640,650,650,660
19,Maine,540,550,540,540,540,550,560
20,Maryland,580,580,580,580,580,580,580
21,Massachusetts,590,590,590,590,590,590,600
22,Michigan,670,670,670,670,680,680,680
23,Minnesota,670,670,670,670,680,680,690
24,Mississippi,660,650,640,650,670,660,680
25,Missouri,670,680,670,680,680,680,680
26,Montana,600,600,600,600,630,630,630
27,Nebraska,670,680,660,670,680,670,680
28,Nevada,560,560,550,560,560,560,580
29,New Hampshire,590,590,590,590,590,590,600
30,New Jersey,570,570,570,570,580,580,580
31,New Mexico,630,630,630,630,630,630,630
32,New York,560,560,560,560,560,560,560
33,North Carolina,570,560,560,570,570,570,570
34,North Dakota,660,670,670,680,700,670,670
35,Ohio,610,610,620,620,630,630,630
36,Oklahoma,650,650,650,650,660,660,660
37,Oregon,590,590,590,590,590,590,600
38,Pennsylvania,560,560,560,560,570,570,570
39,Puerto Rico,,520,520,520,540,530,540
40,Rhode Island,570,570,570,570,570,570,560
41,South Carolina,560,550,550,550,560,560,560
42,South Dakota,680,670,680,680,690,680,670
43,Tennessee,650,650,650,650,650,660,660
44,Texas,560,550,550,550,550,550,540
45,Utah,650,640,650,650,650,660,670
46,Vermont,590,590,590,590,600,600,590
47,Virgin Islands,,470,460,470,460,470,490
48,Virginia,590,590,580,590,590,590,590
49,Washington,600,600,590,590,590,580,580
50,West Virginia,580,580,580,580,590,580,590
51,Wisconsin,680,670,670,670,670,680,690
52,Wyoming,640,660,640,650,660,650,670
