,state,2010,2011,2012,2013,2014,2015,2016
0,Alabama,630,630,620,620,630,630,640
1,Alaska,590,580,580,580,570,580,550
2,Arizona,590,600,600,600,600,600,600
3,Arkansas,640,640,640,650,650,650,650
4,California,600,600,600,590,590,590,580
5,Colorado,650,640,650,650,660,660,660
6,Connecticut,600,600,600,600,600,600,590
7,Delaware,570,560,540,530,540,530,530
8,District of Columbia,580,560,570,570,550,540,530
9,Florida,570,560,560,560,560,560,550
10,Georgia,560,560,560,560,560,560,560
11,Hawaii,580,580,570,580,580,580,580
12,Idaho,610,610,610,530,520,530,520
13,Illinois,690,700,700,700,700,700,710
14,Indiana,570,570,570,570,570,570,570
15,Iowa,690,690,690,690,690,690,700
16,Kansas,670,670,670,670,680,680,690
17,Kentucky,650,650,650,660,670,670,680
18,Louisiana,640,640,620,640,640,650,660
19,Maine,540,540,550,550,550,550,560
20,Maryland,590,590,590,590,590,580,580
21,Massachusetts,610,610,610,610,610,610,610
22,Michigan,680,690,680,690,690,700,690
23,Minnesota,680,680,680,680,690,690,700
24,Mississippi,630,630,640,620,650,640,670
25,Missouri,680,680,670,680,680,680,690
26,Montana,610,610,600,610,620,620,620
27,Nebraska,670,680,670,670,670,680,690
28,Nevada,570,560,560,560,560,560,580
29,New Hampshire,600,600,600,600,600,600,600
30,New Jersey,600,600,600,600,610,610,600
31,New Mexico,630,620,630,620,620,620,620
32,New York,580,580,580,580,590,580,580
33,North Carolina,580,580,580,580,580,580,580
34,North Dakota,670,670,690,680,700,680,670
35,Ohio,620,620,630,630,640,640,640
36,Oklahoma,650,650,650,650,660,650,660
37,Oregon,590,590,590,590,590,590,590
38,Pennsylvania,580,580,580,580,580,580,580
39,Puerto Rico,,530,520,520,520,520,520
40,Rhode Island,570,570,570,570,570,570,570
41,South Carolina,570,560,560,550,560,560,560
42,South Dakota,680,670,690,690,690,670,670
43,Tennessee,650,650,650,650,650,650,660
44,Texas,580,570,570,570,570,560,550
45,Utah,640,640,650,650,650,660,670
46,Vermont,590,590,600,600,600,600,590
47,Virgin Islands,,440,450,450,440,440,460
48,Virginia,590,580,590,590,590,590,590
49,Washington,600,600,600,600,590,590,590
50,West Virginia,570,570,570,570,570,560,580
51,Wisconsin,680,680,680,680,690,680,690
52,Wyoming,630,640,650,650,660,650,680
